prototype,mean_norm,std_norm,max_norm
0,3.360343,1.3507125,6.475954
1,5.457374,2.5559113,9.870971
2,6.1895895,2.8451526,11.608304
3,4.760747,2.205961,8.357753
4,4.1999717,1.8435655,7.644705
5,5.4315515,2.8416612,10.308454
6,4.0629025,1.8959397,7.805694
7,5.288847,2.8670733,10.451225
8,3.7171717,1.7352461,7.454991
9,3.2370358,1.560887,6.1656103
10,6.5424595,3.380998,12.277742
11,5.5065775,2.7678952,11.122171
12,3.5398989,1.6613876,7.6493964
13,4.642222,2.4498298,10.334735
14,6.072188,3.1921628,12.150552
15,4.4948726,2.288839,10.1027565
