,P0,P1,P2,P3,_row_max,_row_min,_max_dev_from_uniform
class_00_Hepatobiliary disorders,0.08845244,0.37136605,0.45658112,0.083600335,0.45658112,0.083600335,0.20658112
class_01_Metabolism and nutrition disor,0.41020554,0.17001861,0.22126532,0.19851057,0.41020554,0.17001861,0.16020554
class_02_Product issues,0.49223456,0.23726416,0.16679722,0.10370403,0.49223456,0.10370403,0.24223456
class_03_Eye disorders,0.24610513,0.30086422,0.1555265,0.2975042,0.30086422,0.1555265,0.094473496
class_04_Investigations,0.050524585,0.6876552,0.24435174,0.017468417,0.6876552,0.017468417,0.4376552
class_05_Musculoskeletal and connective,0.06548953,0.23246112,0.2051109,0.4969385,0.4969385,0.06548953,0.2469385
class_06_Gastrointestinal disorders,0.36612174,0.47853714,0.1179097,0.037431415,0.47853714,0.037431415,0.22853714
class_07_Social circumstances,0.056611333,0.56916976,0.13899028,0.2352286,0.56916976,0.056611333,0.31916976
class_08_Immune system disorders,0.06477803,0.31855312,0.06400172,0.5526672,0.5526672,0.06400172,0.3026672
class_09_Reproductive system and breast,0.60268486,0.09798754,0.09543261,0.20389497,0.60268486,0.09543261,0.35268486
"class_10_Neoplasms benign, malignant an",0.11594504,0.44852638,0.12322249,0.31230608,0.44852638,0.11594504,0.19852638
class_11_General disorders and administ,0.105281636,0.2096541,0.41312572,0.27193856,0.41312572,0.105281636,0.16312572
class_12_Endocrine disorders,0.3295051,0.1306642,0.050618865,0.48921183,0.48921183,0.050618865,0.23921183
class_13_Surgical and medical procedure,0.15526776,0.27092472,0.2945099,0.27929762,0.2945099,0.15526776,0.09473224
class_14_Vascular disorders,0.33439773,0.3234243,0.16036338,0.18181454,0.33439773,0.16036338,0.089636624
class_15_Blood and lymphatic system dis,0.40594974,0.10290921,0.4441201,0.04702101,0.4441201,0.04702101,0.202979
class_16_Skin and subcutaneous tissue d,0.18370667,0.15610686,0.5771813,0.08300514,0.5771813,0.08300514,0.32718128
"class_17_Congenital, familial and genet",0.4252116,0.14495209,0.17945868,0.2503776,0.4252116,0.14495209,0.17521161
class_18_Infections and infestations,0.096285656,0.47808972,0.26803556,0.1575891,0.47808972,0.096285656,0.22808972
"class_19_Respiratory, thoracic and medi",0.052450135,0.30535567,0.5600524,0.08214182,0.5600524,0.052450135,0.3100524
class_20_Psychiatric disorders,0.41577953,0.0125200795,0.2706258,0.30107456,0.41577953,0.0125200795,0.23747993
class_21_Renal and urinary disorders,0.18886603,0.26553646,0.33357793,0.21201959,0.33357793,0.18886603,0.08357793
"class_22_Pregnancy, puerperium and peri",0.3555254,0.1457797,0.111297846,0.38739708,0.38739708,0.111297846,0.13870215
class_23_Ear and labyrinth disorders,0.37916481,0.20874721,0.3033572,0.10873073,0.37916481,0.10873073,0.14126927
class_24_Cardiac disorders,0.21121693,0.058960542,0.59364396,0.13617857,0.59364396,0.058960542,0.34364396
class_25_Nervous system disorders,0.5090892,0.08188184,0.14721492,0.2618141,0.5090892,0.08188184,0.25908917
"class_26_Injury, poisoning and procedur",0.30391026,0.059049368,0.23584299,0.40119734,0.40119734,0.059049368,0.19095063
